"hf_ng","area_size","area_size_s","log_hf_ng","epg","epg_s","age","sex","density","density_s","log_area","log_area_s","authority","self_drive","session","region","campaign","ndvi_1m","ndvi_1m_s","site"
396.725838,360,-0.244685299537448,5.98324545774109,575,-0.809117568075597,"A","F",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north2","north","2",0.152214285714286,-1.41348571594434,"Site 13"
316.72619,360,-0.244685299537448,5.75803764668368,275,-1.01545359084518,"A","F",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north2","north","2",0.152214285714286,-1.41348571594434,"Site 13"
163.386454,360,-0.244685299537448,5.09611827813264,650,-0.7575335623832,"A","M",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north2","north","2",0.152214285714286,-1.41348571594434,"Site 13"
355.41109,360,-0.244685299537448,5.87327511951058,375,-0.946674916588654,"SA","M",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north2","north","2",0.152214285714286,-1.41348571594434,"Site 13"
382.557692,500,-0.220140809683126,5.94687947065125,875,-0.60278154530601,"A","F",0.046,-1.18815485806072,6.21460809842219,0.519192191856729,"Private","prohibited","north2","north","2",0.157125,-1.34151004722251,"Site 9"
195.139147,22923.85,3.71115889617276,5.27371287844959,2950,0.824375945516964,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
152.303371,22923.85,3.71115889617276,5.02587439360232,1375,-0.258888174023366,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
104.055556,22923.85,3.71115889617276,4.64492494881915,2925,0.807181276952832,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
335.236364,22923.85,3.71115889617276,5.81483584721078,475,-0.877896242332125,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
321.149425,22923.85,3.71115889617276,5.77190651326159,3925,1.49496801951812,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
335.509091,22923.85,3.71115889617276,5.81564905291497,3125,0.94473862546589,"A","F",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
192.381818,22923.85,3.71115889617276,5.2594820327266,3700,1.34021600244093,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
231.061453,22923.85,3.71115889617276,5.44268370544504,2850,0.755597271260435,"A","F",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
168.862275,22923.85,3.71115889617276,5.12908344184988,1850,0.0678105286951466,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
193.240223,22923.85,3.71115889617276,5.26393409369092,250,-1.03264825940932,"SA","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north2","north","2",0.17,-1.15280293031909,"Site 19"
312.981818,130,-0.285008390012404,5.74614509939603,225,-1.04984292797345,"SA","M",0.453846154,-0.617236713726371,4.86753445045558,-0.40409925827027,"Private","prohibited","north2","north","2",0.160666667,-1.28960031762236,"Site 11"
211.373626,130,-0.285008390012404,5.35362730690193,175,-1.08423226510171,"A","F",0.453846154,-0.617236713726371,4.86753445045558,-0.40409925827027,"Private","prohibited","north2","north","2",0.152666667,-1.40685522521283,"Site 11"
589.581818,130,-0.285008390012404,6.37941350254346,650,-0.7575335623832,"SA","M",0.453846154,-0.617236713726371,4.86753445045558,-0.40409925827027,"Private","prohibited","north2","north","2",0.152666667,-1.40685522521283,"Site 11"
155.6,130,-0.285008390012404,5.04728861174429,150,-1.10142693366584,"A","F",0.453846154,-0.617236713726371,4.86753445045558,-0.40409925827027,"Private","prohibited","north2","north","2",0.152666667,-1.40685522521283,"Site 11"
188.345455,130,-0.285008390012404,5.23827780323899,200,-1.06703759653758,"A","F",0.453846154,-0.617236713726371,4.86753445045558,-0.40409925827027,"Private","prohibited","north2","north","2",0.152666667,-1.40685522521283,"Site 11"
143.563636,22923.85,3.71115889617276,4.96677839334792,3450,1.16826931679961,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"Private","prohibited","north2","north","2",0.135,-1.66579315102742,"Site 3"
295.8,22923.85,3.71115889617276,5.6896835502767,675,-0.740338893819068,"SA","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"Private","prohibited","north2","north","2",0.135,-1.66579315102742,"Site 3"
735.149105,22923.85,3.71115889617276,6.60007334258431,575,-0.809117568075597,"A","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"Private","prohibited","north2","north","2",0.135,-1.66579315102742,"Site 3"
269.454545,22923.85,3.71115889617276,5.5963997119307,2900,0.7899866083887,"A","F",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"Private","prohibited","north2","north","2",0.135,-1.66579315102742,"Site 3"
98.117002,22923.85,3.71115889617276,4.58616066450034,3150,0.961933294030022,"SA","M",1.515117797,0.868370619121549,10.0399331322895,3.14109033607316,"Private","prohibited","north2","north","2",0.135,-1.66579315102742,"Site 3"
789.763636,300,-0.255204366617871,6.67173370575662,1575,-0.121330825510308,"A","M",0.666666667,-0.319322681274214,5.7037824746562,0.169069589695469,"NonPrivate","authorised","north2","north","2",0.2624,0.201491252350876,"Site 1"
552.569832,300,-0.255204366617871,6.3145798181652,2100,0.239757214336469,"A","M",0.666666667,-0.319322681274214,5.7037824746562,0.169069589695469,"NonPrivate","authorised","north2","north","2",0.2624,0.201491252350876,"Site 1"
